"","DateTimeUTC","Lat","Long","lc"
"346",2019-09-18 19:34:50,35.7583,-122.1699,3
"347",2019-09-18 19:47:12,35.7557,-122.1665,3
"348",2019-09-18 19:49:14,35.7546,-122.1658,3
"349",2019-09-18 19:58:05,35.7546,-122.1591,3
"350",2019-09-18 20:02:38,35.7542,-122.1595,3
"351",2019-09-18 20:14:54,35.7596,-122.1519,3
"352",2019-09-18 20:17:01,35.7592,-122.1517,3
"353",2019-09-18 20:27:58,35.7707,-122.1519,3
"354",2019-09-18 20:30:20,35.7726,-122.1504,3
"355",2019-09-18 20:40:42,35.7778,-122.158,3
"356",2019-09-18 20:54:00,35.78,-122.1709,3
"357",2019-09-18 21:06:25,35.7823,-122.1821,3
"358",2019-09-18 21:08:01,35.7814,-122.1827,3
"359",2019-09-18 21:19:05,35.7777,-122.1949,3
"360",2019-09-18 21:21:01,35.7762,-122.196,3
"361",2019-09-18 21:35:08,35.7727,-122.2039,3
"362",2019-09-18 21:37:14,35.7716,-122.2047,3
"363",2019-09-18 21:50:35,35.7728,-122.2165,3
"364",2019-09-18 21:53:18,35.7748,-122.2169,3
"365",2019-09-18 22:05:00,35.7771,-122.2176,3
"366",2019-09-18 22:07:03,35.778,-122.2193,3
"367",2019-09-18 22:18:45,35.7813,-122.2231,3
"368",2019-09-18 22:21:09,35.7805,-122.2212,3
"369",2019-09-18 22:31:24,35.7822,-122.2285,3
"370",2019-09-18 22:33:09,35.7819,-122.229,3
"371",2019-09-18 22:42:40,35.7789,-122.227,3
"372",2019-09-18 22:44:00,35.7794,-122.2286,3
"373",2019-09-18 22:55:05,35.7856,-122.2283,3
"374",2019-09-18 22:57:09,35.7854,-122.2266,3
"375",2019-09-18 23:08:23,35.7817,-122.2238,3
"376",2019-09-18 23:10:13,35.7806,-122.2235,3
"377",2019-09-18 23:20:50,35.7845,-122.225,3
"378",2019-09-18 23:23:00,35.7857,-122.2265,3
"379",2019-09-18 23:34:16,35.7925,-122.2344,3
"380",2019-09-18 23:47:04,35.7954,-122.2323,3
"381",2019-09-18 23:49:06,35.7971,-122.2323,3
"382",2019-09-19 00:01:38,35.8062,-122.2364,3
"383",2019-09-19 00:03:00,35.8069,-122.2371,3
"384",2019-09-19 00:13:43,35.8064,-122.238,3
"385",2019-09-19 00:16:01,35.804,-122.2373,3
"386",2019-09-19 00:26:01,35.7979,-122.2308,3
"387",2019-09-19 00:28:03,35.797,-122.2292,3
"388",2019-09-19 00:38:29,35.7906,-122.2287,3
"389",2019-09-19 00:40:12,35.7894,-122.2273,3
"390",2019-09-19 00:42:19,35.7879,-122.2252,3
"391",2019-09-19 00:52:31,35.7854,-122.2175,3
"392",2019-09-19 00:54:16,35.7843,-122.216,3
"393",2019-09-19 01:04:26,35.7854,-122.2178,3
"394",2019-09-19 01:14:09,35.7867,-122.2192,3
"395",2019-09-19 01:16:17,35.7853,-122.2173,3
"396",2019-09-19 01:25:51,35.7833,-122.2182,3
"397",2019-09-19 01:28:09,35.7828,-122.2195,3
"398",2019-09-19 01:36:35,35.7838,-122.2127,3
"399",2019-09-19 01:38:08,35.783,-122.2109,3
"400",2019-09-19 01:48:10,35.7875,-122.2092,3
"401",2019-09-19 01:50:04,35.7877,-122.2085,3
"402",2019-09-19 01:58:44,35.7925,-122.2096,3
"403",2019-09-19 02:08:47,35.797,-122.2136,3
"404",2019-09-19 02:18:04,35.8004,-122.2163,3
"405",2019-09-19 02:25:19,35.8042,-122.2168,3
"406",2019-09-19 02:30:55,35.8062,-122.2167,3
"407",2019-09-19 02:34:08,35.8059,-122.2125,3
"408",2019-09-19 02:39:01,35.8034,-122.207,3
"409",2019-09-19 02:44:22,35.8012,-122.2007,3
"410",2019-09-19 02:46:12,35.8008,-122.1986,3
"411",2019-09-19 02:54:14,35.8011,-122.1915,3
"412",2019-09-19 03:03:28,35.8038,-122.1842,3
"413",2019-09-19 03:05:01,35.8034,-122.183,3
"414",2019-09-19 03:07:05,35.803,-122.1809,3
"415",2019-09-19 03:15:01,35.8025,-122.1739,3
"416",2019-09-19 03:20:46,35.7995,-122.1699,3
"417",2019-09-19 03:28:33,35.797,-122.1643,3
"418",2019-09-19 03:30:05,35.796,-122.1627,3
"419",2019-09-19 03:36:38,35.7928,-122.1638,3
"420",2019-09-19 03:44:38,35.7906,-122.1689,3
"421",2019-09-19 03:48:56,35.7883,-122.1709,3
"422",2019-09-19 03:54:26,35.7842,-122.1726,3
"423",2019-09-19 04:06:31,35.7786,-122.1794,3
"424",2019-09-19 04:13:24,35.7752,-122.1842,3
"425",2019-09-19 04:15:02,35.7741,-122.1842,3
"426",2019-09-19 04:22:23,35.7693,-122.1865,3
"427",2019-09-19 04:30:38,35.764,-122.191,3
"428",2019-09-19 04:32:22,35.7632,-122.1916,3
"429",2019-09-19 04:42:46,35.7603,-122.1996,3
"430",2019-09-19 04:49:48,35.758,-122.2045,3
"431",2019-09-19 04:56:34,35.7568,-122.2096,3
"432",2019-09-19 05:04:05,35.7557,-122.2159,3
"433",2019-09-19 05:11:39,35.7507,-122.2207,3
"434",2019-09-19 05:22:07,35.7518,-122.23,3
"435",2019-09-19 05:32:18,35.7563,-122.2333,3
"436",2019-09-19 05:37:13,35.7562,-122.2316,3
"437",2019-09-19 05:39:19,35.7551,-122.2307,3
"438",2019-09-19 05:42:20,35.7537,-122.2292,3
"439",2019-09-19 05:49:23,35.7509,-122.2268,3
"440",2019-09-19 05:54:31,35.7486,-122.2256,3
"441",2019-09-19 06:03:08,35.7439,-122.2243,3
"442",2019-09-19 06:11:21,35.7482,-122.2232,3
"443",2019-09-19 06:21:23,35.7521,-122.2309,3
"444",2019-09-19 06:33:59,35.7564,-122.239,3
"445",2019-09-19 06:41:07,35.7579,-122.2356,3
"446",2019-09-19 06:54:45,35.761,-122.2427,3
"447",2019-09-19 06:59:31,35.7599,-122.2412,3
"448",2019-09-19 07:14:37,35.757,-122.2404,3
"449",2019-09-19 07:20:28,35.7577,-122.2411,3
"450",2019-09-19 07:22:02,35.757,-122.2421,3
"451",2019-09-19 07:29:57,35.7562,-122.2468,3
"452",2019-09-19 07:41:41,35.7527,-122.2461,3
"453",2019-09-19 07:55:40,35.7558,-122.2454,3
"454",2019-09-19 07:57:01,35.7567,-122.2464,3
"455",2019-09-19 08:05:07,35.7634,-122.2506,3
"456",2019-09-19 08:15:13,35.7697,-122.2551,3
"457",2019-09-19 08:25:52,35.773,-122.2633,3
"458",2019-09-19 08:38:49,35.7753,-122.274,3
"459",2019-09-19 08:50:14,35.7724,-122.2823,3
"460",2019-09-19 08:57:50,35.7684,-122.2829,3
"461",2019-09-19 09:03:00,35.7663,-122.2845,3
"462",2019-09-19 09:09:14,35.7631,-122.2862,3
"463",2019-09-19 09:14:52,35.7607,-122.289,3
"464",2019-09-19 09:20:36,35.758,-122.2897,3
"465",2019-09-19 09:31:14,35.7544,-122.2878,3
"466",2019-09-19 09:37:15,35.7527,-122.2853,3
"467",2019-09-19 09:40:04,35.7517,-122.2844,3
"468",2019-09-19 09:51:14,35.7483,-122.2814,3
"469",2019-09-19 10:02:01,35.745,-122.284,3
"470",2019-09-19 10:16:40,35.7389,-122.2866,3
"471",2019-09-19 10:18:06,35.7389,-122.2858,3
"472",2019-09-19 10:32:17,35.7373,-122.28,3
"473",2019-09-19 10:34:03,35.7371,-122.2798,3
"474",2019-09-19 10:46:01,35.7344,-122.2776,3
"475",2019-09-19 10:50:11,35.7357,-122.2809,3
"476",2019-09-19 11:05:19,35.7323,-122.2921,3
"477",2019-09-19 11:38:35,35.7409,-122.2859,3
"478",2019-09-19 11:41:05,35.7402,-122.2857,3
"479",2019-09-19 11:54:15,35.7462,-122.2831,3
"480",2019-09-19 11:57:45,35.7489,-122.2848,3
"481",2019-09-19 12:10:45,35.7566,-122.2924,3
